Matrix,Mode,Speedup_Avg,Speedup_Median
adder_dcop_32.mtx,cudaCSR,1.051126,1.054792
adder_dcop_32.mtx,cudaHLL,.498060,.497558
af_1_k101.mtx,cudaCSR,75.933521,75.795446
af_1_k101.mtx,cudaHLL,134.640909,134.326053
af23560.mtx,cudaCSR,65.854437,66.215745
af23560.mtx,cudaHLL,73.773425,75.350158
amazon0302.mtx,cudaCSR,122.497696,122.315950
amazon0302.mtx,cudaHLL,137.855784,137.658227
bcsstk17.mtx,cudaCSR,56.930618,57.475786
bcsstk17.mtx,cudaHLL,41.963180,42.028151
cage4.mtx,cudaCSR,.083855,.112410
cage4.mtx,cudaHLL,.089712,.119961
cant.mtx,cudaCSR,84.022211,84.981945
cant.mtx,cudaHLL,112.379655,112.251370
cavity10.mtx,cudaCSR,22.548701,22.414241
cavity10.mtx,cudaHLL,23.603181,23.773428
cop20k_A.mtx,cudaCSR,55.257942,54.969044
cop20k_A.mtx,cudaHLL,114.413028,114.223310
Cube_Coup_dt0.mtx,cudaCSR,123.911658,124.051237
Cube_Coup_dt0.mtx,cudaHLL,131.352589,131.433328
dc1.mtx,cudaCSR,.547014,.547022
dc1.mtx,cudaHLL,.292755,.292728
FEM_3D_thermal1.mtx,cudaCSR,71.043833,71.447250
FEM_3D_thermal1.mtx,cudaHLL,76.451071,75.989351
lung2.mtx,cudaCSR,83.546081,82.571266
lung2.mtx,cudaHLL,63.457436,63.580516
mac_econ_fwd500.mtx,cudaCSR,76.483858,76.550568
mac_econ_fwd500.mtx,cudaHLL,36.831907,36.794986
mcfe.mtx,cudaCSR,7.091789,7.118055
mcfe.mtx,cudaHLL,6.713973,7.551571
mhd4800a.mtx,cudaCSR,26.111239,28.287175
mhd4800a.mtx,cudaHLL,36.314862,36.338141
mhda416.mtx,cudaCSR,3.635568,3.743489
mhda416.mtx,cudaHLL,4.141020,4.227941
mhda416.mtx,cudaCSR,3.925120,3.890218
mhda416.mtx,cudaHLL,3.938711,3.933264
ML_Laplace.mtx,cudaCSR,131.250372,130.478207
ML_Laplace.mtx,cudaHLL,138.084699,137.650425
nlpkkt80.mtx,cudaCSR,82.119824,83.689942
nlpkkt80.mtx,cudaHLL,127.907808,128.006126
olafu.mtx,cudaCSR,61.654750,61.812347
olafu.mtx,cudaHLL,81.768229,81.720173
olm1000.mtx,cudaCSR,2.776567,2.903005
olm1000.mtx,cudaHLL,2.736051,2.733704
PR02R.mtx,cudaCSR,88.874599,89.020706
PR02R.mtx,cudaHLL,92.428645,92.628479
raefsky2.mtx,cudaCSR,49.900297,49.937382
raefsky2.mtx,cudaHLL,50.903398,50.828553
rdist2.mtx,cudaCSR,17.707752,17.737430
rdist2.mtx,cudaHLL,16.051567,16.019172
roadNet-PA.mtx,cudaCSR,134.387132,134.606236
roadNet-PA.mtx,cudaHLL,113.502904,113.515814
thermal1.mtx,cudaCSR,69.987363,70.130445
thermal1.mtx,cudaHLL,85.397820,85.808367
thermal2.mtx,cudaCSR,96.262073,96.036968
thermal2.mtx,cudaHLL,126.742022,126.663042
thermomech_TK.mtx,cudaCSR,83.577751,83.868436
thermomech_TK.mtx,cudaHLL,93.541102,92.968997
webbase-1M.mtx,cudaCSR,48.658535,47.891659
webbase-1M.mtx,cudaHLL,12.636445,12.415108
west2021.mtx,cudaCSR,4.582642,4.614093
west2021.mtx,cudaHLL,4.460685,4.407051
