Matrix,Mode,Speedup_Avg,Speedup_Median
adder_dcop_32.mtx,cudaCSR,1.019169,1.019989
adder_dcop_32.mtx,cudaHLL,.290937,.289928
af_1_k101.mtx,cudaCSR,67.997113,67.958496
af_1_k101.mtx,cudaHLL,132.089992,132.019412
af23560.mtx,cudaCSR,59.993766,61.089636
af23560.mtx,cudaHLL,75.608798,76.417929
amazon0302.mtx,cudaCSR,123.869160,123.051169
amazon0302.mtx,cudaHLL,134.215135,133.977149
bcsstk17.mtx,cudaCSR,41.946453,42.358695
bcsstk17.mtx,cudaHLL,34.202583,34.343274
cage4.mtx,cudaCSR,.113947,.121124
cage4.mtx,cudaHLL,.111507,.112410
cant.mtx,cudaCSR,78.244687,76.846571
cant.mtx,cudaHLL,109.672641,109.600598
cavity10.mtx,cudaCSR,12.303358,12.134214
cavity10.mtx,cudaHLL,15.541084,15.412794
cop20k_A.mtx,cudaCSR,48.192830,48.190597
cop20k_A.mtx,cudaHLL,109.947624,109.708408
Cube_Coup_dt0.mtx,cudaCSR,115.796350,115.824986
Cube_Coup_dt0.mtx,cudaHLL,131.530433,131.624234
dc1.mtx,cudaCSR,.573032,.571309
dc1.mtx,cudaHLL,.096999,.096695
FEM_3D_thermal1.mtx,cudaCSR,54.516423,53.348214
FEM_3D_thermal1.mtx,cudaHLL,64.839934,64.420485
lung2.mtx,cudaCSR,79.394554,80.262996
lung2.mtx,cudaHLL,55.238567,55.931732
mac_econ_fwd500.mtx,cudaCSR,71.776533,71.635287
mac_econ_fwd500.mtx,cudaHLL,35.159423,35.055044
mcfe.mtx,cudaCSR,4.684174,4.653450
mcfe.mtx,cudaHLL,5.199544,5.166330
mhd4800a.mtx,cudaCSR,19.402825,19.606994
mhd4800a.mtx,cudaHLL,27.449733,27.355072
mhda416.mtx,cudaCSR,2.508223,2.546501
mhda416.mtx,cudaHLL,3.101274,3.159340
mhda416.mtx,cudaCSR,2.046996,2.251286
mhda416.mtx,cudaHLL,2.972003,2.942825
ML_Laplace.mtx,cudaCSR,126.313247,125.298886
ML_Laplace.mtx,cudaHLL,138.500868,138.515133
nlpkkt80.mtx,cudaCSR,77.058891,78.643198
nlpkkt80.mtx,cudaHLL,129.882781,130.312964
olafu.mtx,cudaCSR,47.322490,47.501492
olafu.mtx,cudaHLL,80.109876,80.278618
olm1000.mtx,cudaCSR,2.537818,2.521756
olm1000.mtx,cudaHLL,2.347201,2.375186
PR02R.mtx,cudaCSR,78.812323,79.059128
PR02R.mtx,cudaHLL,91.203731,91.163572
raefsky2.mtx,cudaCSR,19.230769,19.409179
raefsky2.mtx,cudaHLL,38.387252,38.837322
rdist2.mtx,cudaCSR,10.718802,10.675857
rdist2.mtx,cudaHLL,11.548419,11.363636
roadNet-PA.mtx,cudaCSR,131.514653,131.577998
roadNet-PA.mtx,cudaHLL,113.400150,113.413843
thermal1.mtx,cudaCSR,64.379370,64.304563
thermal1.mtx,cudaHLL,84.375000,84.817772
thermal2.mtx,cudaCSR,98.736024,98.805517
thermal2.mtx,cudaHLL,128.440392,128.774962
thermomech_TK.mtx,cudaCSR,80.358330,81.609894
thermomech_TK.mtx,cudaHLL,89.723129,89.736920
webbase-1M.mtx,cudaCSR,49.864153,49.771808
webbase-1M.mtx,cudaHLL,10.115401,10.104576
west2021.mtx,cudaCSR,4.017189,4.078148
west2021.mtx,cudaHLL,3.559602,3.559602
