Matrix,M,N,NZ,Mode,AvgTime(ms),MedianTime(ms),BestTime(ms),AvgGFlops,MedianGFlops,BestGFlops,Passed,Iterations
adder_dcop_32.mtx,1813,1813,11246,serial,0.074750,0.074500,0.074000,0.300896,0.301906,0.303946,1,5
adder_dcop_32.mtx,1813,1813,11246,cudaCSR,0.073344,0.073040,0.072256,0.306664,0.307941,0.311282,1,5
adder_dcop_32.mtx,1813,1813,11246,cudaHLL,0.256928,0.256960,0.255872,0.087542,0.087531,0.087903,1,5
af_1_k101.mtx,503625,503625,17550675,serial,77.242001,77.196503,77.114998,0.454433,0.454701,0.455182,1,5
af_1_k101.mtx,503625,503625,17550675,cudaCSR,1.135960,1.135936,1.131520,30.900163,30.900816,31.021413,1,5
af_1_k101.mtx,503625,503625,17550675,cudaHLL,0.584768,0.584736,0.583680,60.026113,60.029396,60.138006,1,5
af23560.mtx,23560,23560,484256,serial,2.310000,2.339000,2.184000,0.419269,0.414071,0.443458,1,5
af23560.mtx,23560,23560,484256,cudaCSR,0.038504,0.038288,0.038080,25.153543,25.295446,25.433614,1,5
af23560.mtx,23560,23560,484256,cudaHLL,0.030552,0.030608,0.030272,31.700446,31.642447,31.993658,1,5
amazon0302.mtx,262111,262111,1234877,serial,9.885750,9.850000,9.734000,0.249830,0.250736,0.253724,1,5
amazon0302.mtx,262111,262111,1234877,cudaCSR,0.079808,0.080048,0.078848,30.946196,30.853414,31.322977,1,5
amazon0302.mtx,262111,262111,1234877,cudaHLL,0.073656,0.073520,0.073440,33.530927,33.592954,33.629548,1,5
bcsstk17.mtx,10974,10974,428650,serial,1.949000,1.948500,1.899000,0.439867,0.439979,0.451448,1,5
bcsstk17.mtx,10974,10974,428650,cudaCSR,0.046464,0.046000,0.044032,18.450844,18.636956,19.469931,1,5
bcsstk17.mtx,10974,10974,428650,cudaHLL,0.056984,0.056736,0.056096,15.044574,15.110336,15.282730,1,5
cage4.mtx,9,9,49,serial,0.001000,0.001000,0.001000,0.098000,0.098000,0.098000,1,5
cage4.mtx,9,9,49,cudaCSR,0.008776,0.008256,0.007968,0.011167,0.011870,0.012299,1,5
cage4.mtx,9,9,49,cudaHLL,0.008968,0.008896,0.008224,0.010928,0.011016,0.011916,1,5
cant.mtx,62451,62451,4007383,serial,17.732750,17.732500,17.728001,0.451975,0.451982,0.452096,1,5
cant.mtx,62451,62451,4007383,cudaCSR,0.226632,0.230752,0.210752,35.364671,34.733246,38.029372,1,5
cant.mtx,62451,62451,4007383,cudaHLL,0.161688,0.161792,0.159872,49.569331,49.537467,50.132395,1,5
cavity10.mtx,2597,2597,76367,serial,0.347250,0.345000,0.338000,0.439839,0.442707,0.451876,1,5
cavity10.mtx,2597,2597,76367,cudaCSR,0.028224,0.028432,0.027360,5.411494,5.371905,5.582383,1,5
cavity10.mtx,2597,2597,76367,cudaHLL,0.022344,0.022384,0.022080,6.835571,6.823356,6.917301,1,5
cop20k_A.mtx,121192,121192,2624331,serial,14.568500,14.560500,14.468000,0.360275,0.360473,0.362777,1,5
cop20k_A.mtx,121192,121192,2624331,cudaCSR,0.302296,0.302144,0.301760,17.362658,17.371393,17.393499,1,5
cop20k_A.mtx,121192,121192,2624331,cudaHLL,0.132504,0.132720,0.130976,39.611347,39.546880,40.073462,1,5
Cube_Coup_dt0.mtx,2164760,2164760,127206144,serial,559.571503,559.790497,556.940002,0.454656,0.454478,0.456804,1,5
Cube_Coup_dt0.mtx,2164760,2164760,127206144,cudaCSR,4.832376,4.833072,4.822592,52.647454,52.639872,52.754266,1,5
Cube_Coup_dt0.mtx,2164760,2164760,127206144,cudaHLL,4.254312,4.252944,4.251648,59.801041,59.820277,59.838512,1,5
dc1.mtx,116835,116835,766396,serial,3.937750,3.925500,3.883000,0.389256,0.390471,0.394744,1,5
dc1.mtx,116835,116835,766396,cudaCSR,6.871776,6.871056,6.869344,0.223056,0.223080,0.223135,1,5
dc1.mtx,116835,116835,766396,cudaHLL,40.595488,40.596544,40.589439,0.037758,0.037757,0.037763,1,5
