Matrix,M,N,NZ,Mode,Threads,AvgTime(ms),MedianTime(ms),BestTime(ms),AvgGFlops,MedianGFlops,BestGFlops,Passed,Iterations
roadNet-PA,1090920,1090920,3083796,ompHLL,32,4.734946,4.687079,4.546979,1.302569,1.315871,1.356415,1,5
thermal1,82654,82654,574458,serial,1,0.818446,0.818727,0.815880,1.403777,1.403296,1.408192,1,5
thermal1,82654,82654,574458,ompCSR,32,0.161481,0.157645,0.135459,7.114890,7.287972,8.481651,1,5
thermal1,82654,82654,574458,ompHLL,32,0.371543,0.362534,0.239738,3.092281,3.169127,4.792381,1,5
thermal2,1228045,1228045,8580313,serial,1,17.434831,17.461951,17.126007,0.984273,0.982744,1.002021,1,5
thermal2,1228045,1228045,8580313,ompCSR,32,5.489769,5.187945,5.159011,3.125929,3.307788,3.326340,1,5
thermal2,1228045,1228045,8580313,ompHLL,32,7.173431,7.091427,6.986352,2.392248,2.419912,2.456307,1,5
thermomech_TK,102158,102158,711558,serial,1,1.099493,1.090728,1.089205,1.294338,1.304740,1.306564,1,5
thermomech_TK,102158,102158,711558,ompCSR,32,0.202024,0.214246,0.145087,7.044300,6.642454,9.808707,1,5
thermomech_TK,102158,102158,711558,ompHLL,32,0.475503,0.468532,0.329732,2.992864,3.037397,4.315978,1,5
webbase-1M,1000005,1000005,3105536,serial,1,6.241808,6.244865,6.225647,0.995076,0.994589,0.997659,1,5
webbase-1M,1000005,1000005,3105536,ompCSR,32,2.601786,2.594142,2.382600,2.387234,2.394268,2.606846,1,5
webbase-1M,1000005,1000005,3105536,ompHLL,32,64.896259,65.620419,61.478857,0.095708,0.094652,0.101028,1,5
west2021,2021,2021,7353,serial,1,0.008561,0.008533,0.008375,1.717736,1.723425,1.755933,1,5
west2021,2021,2021,7353,ompCSR,32,0.051325,0.045310,0.044540,0.286529,0.324561,0.330176,1,5
west2021,2021,2021,7353,ompHLL,32,0.052390,0.052482,0.051513,0.280701,0.280213,0.285482,1,5
adder_dcop_32,1813,1813,11246,serial,1,0.022431,0.022386,0.021216,1.002730,1.004734,1.060144,1,5
adder_dcop_32,1813,1813,11246,ompCSR,33,0.050220,0.049153,0.046372,0.447867,0.457591,0.485035,1,5
adder_dcop_32,1813,1813,11246,ompHLL,33,3.769559,3.766530,3.738491,0.005967,0.005972,0.006016,1,5
af_1_k101,503625,503625,17550675,serial,1,21.862803,21.858029,21.851131,1.605528,1.605879,1.606386,1,5
af_1_k101,503625,503625,17550675,ompCSR,33,9.376334,9.699470,8.000916,3.743611,3.618893,4.387166,1,5
