Matrix,Mode,Threads,Speedup_Avg,Speedup_Median
cant,ompCSR,3,1.987899,1.984771
cant,ompHLL,3,.891390,.929954
cavity10,ompCSR,3,1.290391,1.285503
cavity10,ompHLL,3,.351535,.406413
cop20k_A,ompCSR,3,2.042458,2.050802
cop20k_A,ompHLL,3,.932038,.942910
Cube_Coup_dt0,ompCSR,3,2.385016,2.520310
Cube_Coup_dt0,ompHLL,3,1.478004,1.480022
dc1,ompCSR,3,1.509248,1.526419
dc1,ompHLL,3,.005448,.005507
FEM_3D_thermal1,ompCSR,3,1.620469,1.899433
FEM_3D_thermal1,ompHLL,3,1.052375,1.030602
lung2,ompCSR,3,2.298429,2.443666
lung2,ompHLL,3,.792700,.745520
mac_econ_fwd500,ompCSR,3,1.797869,1.796313
mac_econ_fwd500,ompHLL,3,.216234,.222912
mcfe,ompCSR,3,.835047,.916316
mcfe,ompHLL,3,.214766,.233649
mhd4800a,ompCSR,3,1.372534,1.363117
mhd4800a,ompHLL,3,.380018,.386191
mhda416,ompCSR,3,.921635,.877798
mhda416,ompHLL,3,.433885,.409308
mhda416,ompCSR,3,.746964,.756206
mhda416,ompHLL,3,.398216,.417853
ML_Laplace,ompCSR,3,2.735322,2.771864
ML_Laplace,ompHLL,3,1.924792,1.910313
nlpkkt80,ompCSR,3,2.679066,2.680527
nlpkkt80,ompHLL,3,1.975286,1.989112
olafu,ompCSR,3,2.455623,2.448256
olafu,ompHLL,3,.547388,.548869
olm1000,ompCSR,3,.580980,.633713
olm1000,ompHLL,3,.220822,.217430
PR02R,ompCSR,3,2.545892,2.806665
PR02R,ompHLL,3,.958706,.955460
raefsky2,ompCSR,3,1.779392,1.863771
raefsky2,ompHLL,3,.463929,.495653
rdist2,ompCSR,3,.955285,.907807
rdist2,ompHLL,3,.169432,.200591
roadNet-PA,ompCSR,3,2.399209,2.418097
roadNet-PA,ompHLL,3,1.094989,1.078888
thermal1,ompCSR,3,2.256027,2.283788
thermal1,ompHLL,3,1.304823,1.243015
thermal2,ompCSR,3,2.871324,2.880873
thermal2,ompHLL,3,1.484968,1.545384
thermomech_TK,ompCSR,3,1.859621,1.905277
thermomech_TK,ompHLL,3,1.303108,1.297176
webbase-1M,ompCSR,3,1.951309,1.996606
webbase-1M,ompHLL,3,.073581,.074173
west2021,ompCSR,3,.752662,.753559
west2021,ompHLL,3,.163065,.170105
adder_dcop_32,ompCSR,4,1.154429,1.118989
adder_dcop_32,ompHLL,4,.009481,.009490
af_1_k101,ompCSR,4,3.388460,3.402398
af_1_k101,ompHLL,4,2.743851,2.744726
af23560,ompCSR,4,2.607766,2.670628
af23560,ompHLL,4,1.553200,1.523232
amazon0302,ompCSR,4,3.221010,3.546584
amazon0302,ompHLL,4,1.957724,1.946490
bcsstk17,ompCSR,4,2.149541,1.954012
bcsstk17,ompHLL,4,.204186,.204633
cage4,ompCSR,4,.015594,.014255
cage4,ompHLL,4,.016413,.015499
cant,ompCSR,4,2.508579,2.480124
cant,ompHLL,4,.930060,.889968
cavity10,ompCSR,4,1.343972,1.295285
cavity10,ompHLL,4,.267667,.290539
cop20k_A,ompCSR,4,1.906782,1.897119
cop20k_A,ompHLL,4,.878959,.829087
Cube_Coup_dt0,ompCSR,4,2.845959,2.966650
Cube_Coup_dt0,ompHLL,4,1.951200,2.137929
dc1,ompCSR,4,1.727898,1.754006
dc1,ompHLL,4,.005503,.005581
FEM_3D_thermal1,ompCSR,4,1.926105,1.894691
FEM_3D_thermal1,ompHLL,4,.971976,1.060381
lung2,ompCSR,4,2.319246,2.113038
lung2,ompHLL,4,.778835,.789637
mac_econ_fwd500,ompCSR,4,2.340309,2.306465
mac_econ_fwd500,ompHLL,4,.244118,.231596
mcfe,ompCSR,4,1.300690,1.387588
mcfe,ompHLL,4,.221170,.248062
mhd4800a,ompCSR,4,1.430589,1.398060
mhd4800a,ompHLL,4,.348212,.340761
mhda416,ompCSR,4,.813110,.891041
mhda416,ompHLL,4,.314672,.383118
mhda416,ompCSR,4,.826769,.816518
mhda416,ompHLL,4,.320800,.468457
ML_Laplace,ompCSR,4,3.290764,3.247017
ML_Laplace,ompHLL,4,2.486913,2.459703
nlpkkt80,ompCSR,4,2.975684,2.958871
nlpkkt80,ompHLL,4,2.422939,2.403681
olafu,ompCSR,4,3.035352,3.003005
olafu,ompHLL,4,.417510,.402117
olm1000,ompCSR,4,.357022,.407314
olm1000,ompHLL,4,.218590,.222916
PR02R,ompCSR,4,3.307143,3.301807
PR02R,ompHLL,4,1.141029,1.140730
raefsky2,ompCSR,4,2.373509,2.208449
raefsky2,ompHLL,4,.518536,.545897
rdist2,ompCSR,4,1.277170,1.240216
rdist2,ompHLL,4,.263368,.262503
roadNet-PA,ompCSR,4,2.913631,2.992489
roadNet-PA,ompHLL,4,1.609932,1.614349
thermal1,ompCSR,4,3.295601,3.346485
